Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Aiguille de Talèfre		45.900193	7.003992	45.900193,7.003992	3500	3730	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Leschaux	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Leschaux	I/B-7.V-B.4.c
Corno Stella		44.1859	7.3032	44.1859,7.3032	3000	3050	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.1-B.6.a
Grivola		45.595693	7.257535	45.595693,7.257535	3500	3969	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Grivola-Gran Serra > Sottogruppo della Grivola	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Grivola-Gran Serra	Sottogruppo della Grivola	I/B-7.IV-A.3.b
Grivoletta		45.602929	7.270753	45.602929,7.270753	3500	3514	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Grivola-Gran Serra > Gruppo della Grivola	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Grivola-Gran Serra	Gruppo della Grivola	I/B-7.IV-A.3.b
Lauteraarhorn		46.583333	8.128056	46.583333,8.128056	4000	4042	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Schreckhorn-Wetterhorn > Gruppo del Schreckhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Schreckhorn-Wetterhorn	Gruppo del Schreckhorn		I/B-12.II-C.6
Lyskamm Occidentale		45.9275	7.821944	45.9275,7.821944	4000	4481	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Mönch		46.558515	7.997267	46.558515,7.997267	4000	4105	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo della Jungfrau	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo della Jungfrau		I/B-12.II-B.4
Punta Dufour		45.93689	7.86676	45.93689,7.86676	4500	4634	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Punta Scais		46.068333	9.984722	46.068333,9.984722	3000	3038	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo Scais-Redorta	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo Scais-Redorta	II/C-29.I-A.2.b
Torre di Brenta		46.16707	10.89562	46.16707,10.89562	3000	3014	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Sottogruppo centrale di Brenta	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Sottogruppo centrale di Brenta	II/C-28.IV-A.1.e
Corno di Cavento		46.135556	10.586389	46.135556,10.586389	3000	3402	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Carè Alto-Breguzzo > Gruppo del Carè Alto	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Carè Alto-Breguzzo	Gruppo del Carè Alto	II/C-28.III-A.3.a
Grande Casse		45.4055	6.8275	45.4055,6.8275	3500	3855	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio della Grande Casse > Gruppo della Grande Casse > Nodo della Grande Casse	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio della Grande Casse	Gruppo della Grande Casse	Nodo della Grande Casse	I/B-7.II-B.4.a
Mont Avic		45.676614	7.555418	45.676614,7.555418	3000	3006	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Catena Emilius-Tersiva > Gruppo Glacier-Avic > Costiera del Monte Avic	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Catena Emilius-Tersiva	Gruppo Glacier-Avic	Costiera del Monte Avic	I/A-7.IV-C.10.b
Monte Cridola		46.42638	12.48698	46.42638,12.48698	2500	2581	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Catena Duranno-Monfalconi-Pramaggiore > Gruppo della Cridola	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Catena Duranno-Monfalconi-Pramaggiore	Gruppo della Cridola		II/C-33.III-A.1
Pizzo Scalino		46.278916	9.973633	46.278916,9.973633	3000	3323	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Gruppo dello Scalino > Gruppo Scalino-Canciano	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Gruppo dello Scalino	Gruppo Scalino-Canciano	II/A-15.III-A.2.a
Planjava		46.356389	14.609444	46.356389,14.609444	2000	2394	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja > Catena Mrzla gora-Grintovec-Ojstrica > Gruppo Planjava-Ojstrica	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja	Catena Mrzla gora-Grintovec-Ojstrica	Gruppo Planjava-Ojstrica		II/C-35.II-B.5
Punta delle Sengie		45.531825	7.396581	45.531825,7.396581	3000	3408	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Sengie-Chardonney > Nodo delle Sengie	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Sengie-Chardonney	Nodo delle Sengie	I/B-7.IV-A.4.a
Scharwandeck		47.510278	13.500833	47.510278,13.500833	2000	2050	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Monti del Dachstein > Gruppo del Gosau > Costiera del Gosau	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Monti del Dachstein	Gruppo del Gosau	Costiera del Gosau		II/B-25.I
Uia di Ciamarella		45.32825	7.14493	45.32825,7.14493	3500	3676	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Sottogruppo della Ciamarella	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Sottogruppo della Ciamarella	I/B-7.I-B.6.a
Uia di Mondrone		45.3288	7.22	45.3288,7.22	2500	2964	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Cresta del Mondrone	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Cresta del Mondrone	I/B-7.I-B.6.b
Pic Eccles		45.821667	6.874444	45.821667,6.874444	4000	4041	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Contrafforti italiani del Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Contrafforti italiani del Monte Bianco	I/B-7.V-B.2.c/c
Aiguille de Triolet		45.918038	7.023761	45.918038,7.023761	3500	3870	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo di Triolet	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo di Triolet	I/B-7.V-B.5.a
Cima d'Ambiez		46.15041	10.86792	46.15041,10.86792	3000	3102	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Catena d'Ambiez	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Catena d'Ambiez	II/C-28.IV-A.1.i
Blinnenhorn		46.425884	8.308368	46.425884,8.308368	3000	3374	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Monte Leone-Blinnenhorn > Gruppo Blinnenhorn-Valrossa > Gruppo del Blinnenhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Monte Leone-Blinnenhorn	Gruppo Blinnenhorn-Valrossa	Gruppo del Blinnenhorn	I/B-10.I-A.5.a
Piz Corvatsch		46.408333	9.816111	46.408333,9.816111	3000	3451	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Sottogruppo del Gluschaint	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Sottogruppo del Gluschaint	II/A-15.III-A.1.b/b
Ago di Nardis		46.204833	10.655833	46.204833,10.655833	3000	3289	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo della Presanella > Massiccio della Presanella > Crinale di Genova	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo della Presanella	Massiccio della Presanella	Crinale di Genova	II/C-28.III-B.4.a
Aiguille du Tour		45.9945	7.0102	45.9945,7.0102	3500	3540	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena del Tour > Gruppo del Tour	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena del Tour	Gruppo del Tour	I/B-7.V-C.7.a/a
Albaron di Savoia		45.333987	7.101159	45.333987,7.101159	3500	3637	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Bessanese-Albaron > Cresta Albaron-Grand Fond	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Bessanese-Albaron	Cresta Albaron-Grand Fond	I/B-7.I-B.5.b
Becca di Nona		45.688108	7.365024	45.688108,7.365024	3000	3142	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Catena Emilius-Tersiva > Gruppo dell'Emilius > Nodo del Monte Emilius	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Catena Emilius-Tersiva	Gruppo dell'Emilius	Nodo del Monte Emilius	I/B-7.IV-C.9.a
Bellecôte		45.492778	6.782222	45.492778,6.782222	3000	3417	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio della Grande Casse > Gruppo di Bellecôte > Nodo della Cima di Bellecôte	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio della Grande Casse	Gruppo di Bellecôte	Nodo della Cima di Bellecôte	I/B-7.II-B.5.a
Cadreghe di Viso		44.675642	7.089436	44.675642,7.089436	3000	3190	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Cima del Fop		45.933333	9.864167	45.933333,9.864167	2000	2322	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Centrali > Gruppo Arera-Menna > Gruppo dell'Arera	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Centrali	Gruppo Arera-Menna	Gruppo dell'Arera	II/C-29.II-B.5.a
Cima della Bondasca		46.28775	9.621722	46.28775,9.621722	3000	3289	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della val Bregaglia > Gruppo del Castello > Catena Pizzi del Ferro-monte di Zocca	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della val Bregaglia	Gruppo del Castello	Catena Pizzi del Ferro-monte di Zocca	II/A-15.III-B.3.c
Cima di Valmora (N)		45.931111	9.842222	45.931111,9.842222	2000	2198	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Centrali > Gruppo Arera-Menna > Gruppo dell'Arera	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Centrali	Gruppo Arera-Menna	Gruppo dell'Arera	II/C-29.II-B.5.a
Cima Nera (Alpi Venoste)		46.773333	10.914722	46.773333,10.914722	3500	3628	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Gruppo del Similaum	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Gruppo del Similaum	II/A-16.I-A.5.b
Cimone della Bagozza		46.011224	10.250611	46.011224,10.250611	2000	2407	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Orientali > Gruppo Camino-Concarena > Gruppo del Camino	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Orientali	Gruppo Camino-Concarena	Gruppo del Camino	II/C-29.II-C.11.b
Cinque Torri		46.51016	12.052065	46.51016,12.052065	2000	2361	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Nuvolau > Settore delle Cinque Torri	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Nuvolau	Settore delle Cinque Torri	II/C-31.I-D.16.b
Clariden		46.842083	8.87125	46.842083,8.87125	3000	3267	Alpi Occidentali > Alpi Nord-occidentali > Alpi Glaronesi > Alpi Urano-Glaronesi > Catena Oberalpstock-Clariden-Schärhorn > Gruppo del Clariden	Alpi Occidentali	Alpi Nord-occidentali	Alpi Glaronesi	Alpi Urano-Glaronesi	Catena Oberalpstock-Clariden-Schärhorn	Gruppo del Clariden		I/B-13.I-A.2
Corno Baitone		46.172936	10.441118	46.172936,10.441118	3000	3331	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Gruppo dell'Adamelloin senso stretto > Gruppo del Baitone	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Gruppo dell'Adamelloin senso stretto	Gruppo del Baitone	II/C-28.III-A.1.c
Corno Baitone		46.172936	10.441118	46.172936,10.441118	3000	3331	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Gruppo dell'Adamelloin senso stretto > Gruppo del Baitone	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Gruppo dell'Adamelloin senso stretto	Gruppo del Baitone	II/C-28.III-A.1.c
Corno Bianco (Alpi Pennine)		45.822552	7.878678	45.822552,7.878678	3000	3320	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valsesiani del Monte Rosa > Costiera del Corno Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valsesiani del Monte Rosa	Costiera del Corno Bianco		I/B-9.III-C.6
Corno Nero (Alpi Pennine)		45.9149	7.862	45.9149,7.862	4000	4321	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Cornone di Blumone		45.95	10.4667	45.95,10.4667	2500	2843	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Re di Castello-Blumone > Gruppo del Blumone	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Re di Castello-Blumone	Gruppo del Blumone	II/C-28.III-A.2.c
Creta Grauzaria		46.4674	13.1623	46.4674,13.1623	2000	2065	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi Tolmezzine Orientali > Gruppo Sernio-Grauzaria > Dorsale della Grauzaria	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi Tolmezzine Orientali	Gruppo Sernio-Grauzaria	Dorsale della Grauzaria	II/C-33.I-D.13.a
Crodon di Giaf		46.41693	12.49586	46.41693,12.49586	2500	2523	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Dolomiti Friulane > Gruppo Spalti-Monfalconi > Monfalconi	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Dolomiti Friulane	Gruppo Spalti-Monfalconi	Monfalconi	II/C-33.III-A.2.a/a
Crozzon di Brenta		46.162222	10.868889	46.162222,10.868889	3000	3122	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Massiccio della Tosa	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Massiccio della Tosa	II/C-28.IV-A.1.f
Dent de Perroc		46.03941	7.52332	46.03941,7.52332	3500	3676	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Bouquetins-Mont Brulé > Sottogruppo dei Bouquetins	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Bouquetins-Mont Brulé	Sottogruppo dei Bouquetins	I/B-9.II-A.1.b
Grand Bérard		44.449444	6.66	44.449444,6.66	3000	3046	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Catena del Parpaillon > Massiccio Parpaillon-Grand Bérard > Gruppo del Grand Bérard	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Catena del Parpaillon	Massiccio Parpaillon-Grand Bérard	Gruppo del Grand Bérard	I/A-4.I-B.6.b
Grand Combin		45.937423	7.299385	45.937423,7.299385	4000	4309	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Grand Combin-Monte Vélan > Gruppo del Grand Combin	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Grand Combin-Monte Vélan	Gruppo del Grand Combin		I/B-9.I-B.4
Grand Combin de Grafeneire		45.934444	7.296944	45.934444,7.296944	4000	4314	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Grand Combin-Monte Vélan > Gruppo del Grand Combin	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Grand Combin-Monte Vélan	Gruppo del Grand Combin		I/B-9.I-B.4
Grand Pic de Belledonne		45.171111	5.991667	45.171111,5.991667	2500	2977	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Catena di Belledonne > Catena Grand Pic de Belledonne-Grand Doménon > Gruppo Belledonne-Allemont > Cresta Grand Pic de Belledonne-Rocher de l'Homme	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Catena di Belledonne	Catena Grand Pic de Belledonne-Grand Doménon	Gruppo Belledonne-Allemont	Cresta Grand Pic de Belledonne-Rocher de l'Homme	I/A-5.II.B.5.a
Grande Motte		45.41648	6.867089	45.41648,6.867089	3500	3653	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio della Grande Casse > Gruppo della Grande Motte > Nodo della Grande Motte	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio della Grande Casse	Gruppo della Grande Motte	Nodo della Grande Motte	I/B-7.II-B.3.a
Grande Rousse		45.563553	7.084029	45.563553,7.084029	3500	3607	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Gruppo Grande Sassière-Tsanteleina > Sottogruppo Grande Traversière-Grande Rousse	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Gruppo Grande Sassière-Tsanteleina	Sottogruppo Grande Traversière-Grande Rousse	I/A-7.III-A.2.b
Granta Parey		45.495248	7.064059	45.495248,7.064059	3000	3387	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Nodo della Tsanteleina > Grande Traversière-Grande Rousse	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Nodo della Tsanteleina	Grande Traversière-Grande Rousse	I/B-7.III-A.2.b
Großglockner		47.074528	12.69385	47.074528,12.69385	3500	3798	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Glockner > Massiccio del Glockner i.s.a. > Massiccio del Glockner p.d.	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Glockner	Massiccio del Glockner i.s.a.	Massiccio del Glockner p.d.	II/A-17.II-C.7.b
Haute Cime des Dents du Midi		46.179167	6.923611	46.179167,6.923611	3000	3257	Alpi Occidentali > Alpi Nord-occidentali > Prealpi di Savoia > Prealpi del Giffre > Catena Buet-Ruan-Dents du Midi > Gruppo del Dents du Midi > Catena del Dents du Midi	Alpi Occidentali	Alpi Nord-occidentali	Prealpi di Savoia	Prealpi del Giffre	Catena Buet-Ruan-Dents du Midi	Gruppo del Dents du Midi	Catena del Dents du Midi	I/B-8.II-A.3.a
Hochgolling		47.266111	13.760556	47.266111,13.760556	2500	2862	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri orientali > Tauri di Schladming e di Murau > Tauri di Schladming > Gruppo dell'Hochgolling > Cresta dell'Hochgolling	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri orientali	Tauri di Schladming e di Murau	Tauri di Schladming	Gruppo dell'Hochgolling	Cresta dell'Hochgolling	II/A-18.II-A.1.e
Hochkalter		47.569167	12.865556	47.569167,12.865556	2500	2607	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Alpi di Berchtesgaden > Alpi Centro-occidentali di Berchtesgaden > Catena dell'Hochkalter > Gruppo dell'Hochkalter	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Alpi di Berchtesgaden	Alpi Centro-occidentali di Berchtesgaden	Catena dell'Hochkalter	Gruppo dell'Hochkalter	II/B-24.III-C.6.b
Hohberghorn		46.1125	7.85388	46.1125,7.85388	4000	4218	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Catena dei Mischabel p.d.	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Catena dei Mischabel p.d.		I/B-9.V-A.2
Jungfrau		46.536944	7.9625	46.536944,7.9625	4000	4158	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo della Jungfrau	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo della Jungfrau		I/B-12.II-B.4
L'Isolée		45.85457	6.89097	45.85457,6.89097	4000	4114	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo del Mont Blanc du Tacul	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo del Mont Blanc du Tacul	I/B-7.V-B.2.e
