Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Monte Oronaye	44.441379	6.93383	FALSE				First absolute ascent		agosto 1883	1883	Giovanni Masini, Ettore Troya		Giovanni Masini, Ettore Troya		3000	3104	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Chambeyronpropriamente detto > Cresta del Monte Oronaye	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Chambeyronpropriamente detto	Cresta del Monte Oronaye	I/A-4.1-A.1.a
Monte Pelvoux	44.898056	6.393333	FALSE				First absolute ascent		30 luglio1828	1828	Capitano Durand, A. Liotard, J. E. Matheoud		Capitano Durand, A. Liotard, J. E. Matheoud		3500	3946	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Pelvoux-Bans-Sirac > Catena Ailefroide-Pelvoux > Gruppo del Pelvoux	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Pelvoux-Bans-Sirac	Catena Ailefroide-Pelvoux	Gruppo del Pelvoux	I/A-5.III-C.10.b
Monte Scaletta	44.4233	6.9505	FALSE				First absolute ascent		1830	1830	capitano Cossato		capitano Cossato		2500	2840	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo dell'Oserot > Sottogruppo dell'Oserot	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo dell'Oserot	Sottogruppo dell'Oserot	I/A-4.1-A.2.a/a
Monte Secco	45.932567	9.880478	FALSE				First absolute ascent		1931	1931	G.B. Cortinovis, E. Corio		G.B. Cortinovis, E. Corio		2000	2267	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Centrali > Gruppo Arera-Menna > Sottogruppo dell'Arera	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Centrali	Gruppo Arera-Menna	Sottogruppo dell'Arera	II/C-29.II-B.5.a
Monte Stavello	46.07385	9.50032	FALSE				First absolute ascent		Non documentata		Ignoto		Ignoto		2500	2614	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Occidentali > Gruppo del Legnone > Catena del Rotondo-Stavello	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Occidentali	Gruppo del Legnone	Catena del Rotondo-Stavello	II/C-29.I-B.7
Monte Tenibres	44.285292	6.97119	FALSE				First absolute ascent		1836	1836	capitano Luigi Fecia di Cossato		capitano Luigi Fecia di Cossato		3000	3031	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Corborant-Tenibres-Enciastraia > Gruppo del Tenibres > Massiccio del Tenibres	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Corborant-Tenibres-Enciastraia	Gruppo del Tenibres	Massiccio del Tenibres	I/A-2.I-C.11.b
Monte Terza Media	46.5408	12.6189	FALSE				First absolute ascent		11 settembre1889	1889	Karl Diener, A. Holzhevsen		Karl Diener, A. Holzhevsen		2000	2434	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo delle Terze	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo delle Terze	II/C-33.I-C.7.c
Monte Tricorno	46.378477	13.836629	FALSE				First absolute ascent		26 agosto1778	1778	Luka Korošec, Matija Kos, Štefan Rožič, Lovrenc Willomitzer		Luka Korošec, Matija Kos, Štefan Rožič, Lovrenc Willomitzer		2500	2864	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena del Tricorno > Gruppo del Tricorno > Nodo del Tricorno	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena del Tricorno	Gruppo del Tricorno	Nodo del Tricorno	II/C-34.I-E.8.a
Pelvo d'Elva	44.557222	7.023333	FALSE				First absolute ascent		1836	1836	Capitano Cossato		Capitano Cossato		3000	3064	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo della Marchisa > Costiera del Pelvo d'Elva	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo della Marchisa	Costiera del Pelvo d'Elva	I/A-4.I-A.4.d
Piccolo Paradiso	45.52548	7.267263	FALSE				First absolute ascent		3 agosto 1869	1869	Pierre-Joseph Frassy (di Valgrisenche)	Élysée Jeantet	Pierre-Joseph Frassy (di Valgrisenche), Élysée Jeantet	[1]	3500	3923	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Pierra Menta	45.638056	6.650833	FALSE				First absolute ascent		1922	1922	L. Zwingelstein e Loustalot		L. Zwingelstein e Loustalot		2500	2714	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Beaufortain > Massiccio del Roignais > Gruppo dell'Aiguille du Grand Fond > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Beaufortain	Massiccio del Roignais	Gruppo dell'Aiguille du Grand Fond		I/B-7.VI-A.1
Piz Corvatsch	46.408333	9.816111	FALSE				First absolute ascent		13 luglio1850	1850	Johann Coaz, compagni		Johann Coaz, compagni	[1]	3000	3451	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Sottogruppo del Gluschaint	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Sottogruppo del Gluschaint	II/A-15.III-A.1.b/b
Piz Morteratsch	46.402778	9.901944	FALSE				First absolute ascent		11 settembre 1858	1858	C. Brügger, P. Gensler	Karl Emmermann, Angelo Klaingutti	C. Brügger, P. Gensler, Karl Emmermann, Angelo Klaingutti		3500	3751	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Sottogruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Sottogruppo del Bernina	II/A-15.III-A.1.c
Piz Palü	46.378333	9.960556	FALSE				First absolute ascent		1866	1866	K. E. Digby, Peter Jenny e un portatore		K. E. Digby, Peter Jenny e un portatore		3500	3901	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Piz Palü	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Piz Palü	II/A-15.III-A.1.e
