Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
Artico nero. La lunga notte dei popoli dei ghiacci	Groenlandia	mare	Aperto > Naturale > Acquatico > Mare					7662545	71.8171799,-40.4263179
La festa nera									
Divorare il cielo	Speziale	campagna	Aperto > Naturale > Rurale > Campagna					4452527394	40.7913913,17.4598637
La casa mangia le parole	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321
L'olmo grande	Friuli Venezia Giulia	campagna	Aperto > Naturale > Rurale > Campagna					179296	46.1510420,13.0559040
Una notte sull'alpe della luna	Appennino	montagna	Aperto > Naturale > Rilievo > Montagna					823645399	42.9778013,13.0796986
L'albero della fortuna	Calabria	paese	Aperto > Urbano > Paese					1783980	39.0565974,16.5249864
Il fico di Betania	Palestina	città	Aperto > Urbano > Città			Territori Palestinesi!		1703814	31.4624210,34.2627215
La colomba sul pino e la vecchia sotto il fico	Liguria	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					301482	44.4777617,8.7026296
La colomba sul pino e la vecchia sotto il fico	Lambrate	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					3356418408	45.4824346,9.2410536
Canto degli alberi	Mantova	città	Aperto > Urbano > Città					43798	45.1692628,10.6708365
L'assemblea degli animali		bosco	Aperto > Naturale > Arboreo > Bosco						
Il bosco del confine	Carso	bosco	Aperto > Naturale > Arboreo > Bosco					11801461	45.7550942,13.7932829
Il bosco del confine	Balcani	bosco	Aperto > Naturale > Arboreo > Bosco					4016746	41.7785016,23.8146770
L'imitazione di una foglia che cade									
Noi									
Dopo la pioggia	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321
Bjula della betulle									
Il bosco di là	Italia settentrionale	bosco	Aperto > Naturale > Arboreo > Bosco						
Erba matta		città	Aperto > Urbano > Città						
La quercia di Bruegel									
Il pioppo del Sempione									
Tasmania									
Solo di uomini il bosco può morire	Foresta di Cuma	bosco	Aperto > Naturale > Arboreo > Bosco					10207399661	40.84922,14.04896
